Date,Shift,Units_Produced,Defects,Defect_Rate,Downtime_Minutes,Efficiency,Energy_Used,Labor_Hours
2023-01-01,Morning,893,26,0.0291,118,0.804,548,185
2023-01-01,Evening,1087,37,0.034,30,0.8,737,159
2023-01-01,Night,983,39,0.0397,63,0.978,760,190
2023-01-02,Morning,881,19,0.0216,70,0.812,759,171
2023-01-02,Evening,935,32,0.0342,22,0.827,582,170
2023-01-02,Night,1084,12,0.0111,10,0.896,567,175
2023-01-03,Morning,862,15,0.0174,76,0.796,691,198
2023-01-03,Evening,1186,12,0.0101,45,0.865,784,162
2023-01-03,Night,806,8,0.0099,68,0.896,752,153
2023-01-04,Morning,1066,43,0.0403,104,0.979,677,159
2023-01-04,Evening,1165,29,0.0249,4,0.894,591,163
2023-01-04,Night,1035,22,0.0213,94,0.766,630,198
2023-01-05,Morning,1135,18,0.0159,92,0.942,572,175
2023-01-05,Evening,1085,37,0.0341,56,0.944,625,188
2023-01-05,Night,1181,41,0.0347,54,0.809,669,167
2023-01-06,Morning,876,23,0.0263,59,0.834,688,151
2023-01-06,Evening,859,10,0.0116,36,0.801,739,151
2023-01-06,Night,1024,43,0.042,120,0.975,781,150
2023-01-07,Morning,811,39,0.0481,20,0.952,743,190
2023-01-07,Evening,976,42,0.043,76,0.926,629,186
2023-01-07,Night,1177,50,0.0425,6,0.878,663,165
2023-01-08,Morning,1001,35,0.035,114,0.969,532,191
2023-01-08,Evening,829,22,0.0265,87,0.916,539,156
2023-01-08,Night,994,34,0.0342,37,0.976,627,160
2023-01-09,Morning,1014,13,0.0128,21,0.843,583,165
2023-01-09,Evening,990,25,0.0253,120,0.885,716,160
2023-01-09,Night,922,36,0.039,74,0.76,635,157
2023-01-10,Morning,820,15,0.0183,16,0.804,505,153
2023-01-10,Evening,1061,30,0.0283,13,0.795,650,196
2023-01-10,Night,1114,36,0.0323,90,0.863,520,190
2023-01-11,Morning,926,30,0.0324,62,0.849,745,178
2023-01-11,Evening,1067,52,0.0487,65,0.776,769,163
2023-01-11,Night,968,40,0.0413,59,0.919,756,174
2023-01-12,Morning,933,21,0.0225,49,0.976,510,167
2023-01-12,Evening,1138,15,0.0132,92,0.783,795,150
2023-01-12,Night,1002,36,0.0359,29,0.789,541,166
2023-01-13,Morning,846,22,0.026,53,0.905,630,151
2023-01-13,Evening,1003,45,0.0449,110,0.801,785,169
2023-01-13,Night,997,32,0.0321,85,0.803,794,157
2023-01-14,Morning,1065,33,0.031,9,0.875,569,176
2023-01-14,Evening,1051,42,0.04,12,0.801,593,161
2023-01-14,Night,944,45,0.0477,40,0.905,626,187
2023-01-15,Morning,839,10,0.0119,105,0.925,637,153
2023-01-15,Evening,1016,21,0.0207,77,0.801,760,163
2023-01-15,Night,893,27,0.0302,4,0.963,632,184
2023-01-16,Morning,1085,21,0.0194,91,0.886,675,156
2023-01-16,Evening,1085,13,0.012,117,0.916,736,150
2023-01-16,Night,943,22,0.0233,4,0.821,800,157
2023-01-17,Morning,1138,42,0.0369,39,0.86,671,191
2023-01-17,Evening,981,34,0.0347,75,0.777,591,177
2023-01-17,Night,994,43,0.0433,56,0.956,736,178
2023-01-18,Morning,1026,33,0.0322,93,0.959,528,151
2023-01-18,Evening,1109,53,0.0478,93,0.925,515,166
2023-01-18,Night,877,19,0.0217,107,0.917,634,171
2023-01-19,Morning,1193,35,0.0293,81,0.912,771,151
2023-01-19,Evening,1050,26,0.0248,28,0.854,741,163
2023-01-19,Night,1123,26,0.0232,12,0.892,587,157
2023-01-20,Morning,1002,11,0.011,40,0.755,736,173
2023-01-20,Evening,901,23,0.0255,6,0.932,536,156
2023-01-20,Night,1032,33,0.032,47,0.899,701,181
2023-01-21,Morning,1065,15,0.0141,99,0.766,519,182
2023-01-21,Evening,1148,30,0.0261,16,0.836,782,178
2023-01-21,Night,1085,15,0.0138,80,0.968,743,154
2023-01-22,Morning,963,12,0.0125,96,0.865,686,174
2023-01-22,Evening,920,30,0.0326,100,0.903,537,185
2023-01-22,Night,890,40,0.0449,105,0.927,517,191
2023-01-23,Morning,1098,36,0.0328,41,0.893,695,184
2023-01-23,Evening,967,24,0.0248,60,0.812,563,179
2023-01-23,Night,1049,24,0.0229,86,0.867,637,186
2023-01-24,Morning,1011,29,0.0287,105,0.802,762,180
2023-01-24,Evening,953,47,0.0493,56,0.769,720,150
2023-01-24,Night,905,44,0.0486,91,0.803,742,171
2023-01-25,Morning,1109,13,0.0117,0,0.831,760,198
2023-01-25,Evening,1117,12,0.0107,68,0.954,688,193
2023-01-25,Night,1079,20,0.0185,23,0.945,689,181
2023-01-26,Morning,856,9,0.0105,83,0.852,622,170
2023-01-26,Evening,826,31,0.0375,100,0.753,756,196
2023-01-26,Night,829,8,0.0097,106,0.892,500,160
2023-01-27,Morning,897,16,0.0178,87,0.808,530,172
2023-01-27,Evening,1145,35,0.0306,87,0.86,770,186
2023-01-27,Night,1021,44,0.0431,47,0.843,689,190
2023-01-28,Morning,936,11,0.0118,36,0.959,607,171
2023-01-28,Evening,938,35,0.0373,23,0.967,780,192
2023-01-28,Night,874,32,0.0366,115,0.947,671,180
2023-01-29,Morning,1172,26,0.0222,42,0.766,723,188
