Order_ID,Order_Date,Ship_Date,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit,Region,Segment,Customer_ID,State
ORD-1000,2024-05-14,2024-05-16,Furniture,Bookcases,Bookcases 209,2529.31,3,0.25,626.32,South,Consumer,CUST-5411,Georgia
ORD-1001,2023-05-03,2023-05-04,Office Supplies,Paper,Paper 703,1521.06,10,0.1,394.03,South,Home Office,CUST-9387,Illinois
ORD-1002,2024-03-18,2024-03-20,Furniture,Bookcases,Bookcases 168,877.65,1,0.25,99.02,West,Corporate,CUST-3990,Ohio
ORD-1003,2023-05-11,2023-05-17,Office Supplies,Storage,Storage 256,534.81,8,0.1,57.0,Central,Corporate,CUST-4800,California
ORD-1004,2022-11-04,2022-11-08,Office Supplies,Labels,Labels 678,981.04,5,0.0,126.29,West,Consumer,CUST-6743,Texas
ORD-1005,2024-10-16,2024-10-22,Technology,Computers,Computers 458,10722.08,8,0.15,1029.52,West,Corporate,CUST-6889,New York
ORD-1006,2022-03-20,2022-03-25,Office Supplies,Labels,Labels 251,331.6,2,0.0,34.81,West,Consumer,CUST-4152,Pennsylvania
ORD-1007,2024-11-04,2024-11-09,Office Supplies,Paper,Paper 192,852.3,4,0.2,260.15,Central,Consumer,CUST-1750,Ohio
ORD-1008,2022-09-11,2022-09-17,Technology,Copiers,Copiers 484,8752.69,10,0.25,1831.58,East,Consumer,CUST-6211,Illinois
ORD-1009,2023-08-11,2023-08-16,Technology,Copiers,Copiers 212,1231.82,7,0.2,389.07,West,Consumer,CUST-7455,Texas
ORD-1010,2024-01-24,2024-01-29,Technology,Computers,Computers 357,14374.05,9,0.15,1395.25,South,Consumer,CUST-5894,Florida
ORD-1011,2023-01-30,2023-02-01,Furniture,Furnishings,Furnishings 968,2018.19,3,0.0,175.03,East,Home Office,CUST-5024,Georgia
ORD-1012,2022-01-18,2022-01-19,Office Supplies,Art,Art 543,218.8,3,0.1,14.92,West,Corporate,CUST-5976,Illinois
ORD-1013,2022-10-16,2022-10-22,Furniture,Tables,Tables 955,3655.32,8,0.1,589.09,Central,Consumer,CUST-3087,Pennsylvania
ORD-1014,2023-11-02,2023-11-08,Furniture,Tables,Tables 562,6664.44,9,0.2,510.69,East,Home Office,CUST-2489,Ohio
ORD-1015,2024-10-04,2024-10-07,Furniture,Chairs,Chairs 574,2084.9,9,0.1,377.65,East,Consumer,CUST-1332,Pennsylvania
ORD-1016,2022-07-14,2022-07-19,Office Supplies,Labels,Labels 286,45.35,2,0.1,10.63,West,Home Office,CUST-7599,Illinois
ORD-1017,2022-10-18,2022-10-23,Office Supplies,Art,Art 542,225.65,1,0.1,76.91,West,Corporate,CUST-2261,Illinois
ORD-1018,2024-11-23,2024-11-27,Furniture,Bookcases,Bookcases 527,10198.7,8,0.1,1626.51,Central,Home Office,CUST-5260,New York
ORD-1019,2022-09-15,2022-09-22,Office Supplies,Labels,Labels 268,406.35,4,0.0,120.34,West,Home Office,CUST-6737,Pennsylvania
ORD-1020,2023-06-20,2023-06-24,Furniture,Furnishings,Furnishings 706,355.47,1,0.15,72.41,West,Consumer,CUST-6397,Pennsylvania
ORD-1021,2023-02-20,2023-02-25,Technology,Accessories,Accessories 201,2697.29,3,0.0,911.28,West,Home Office,CUST-9132,Florida
ORD-1022,2022-06-29,2022-07-03,Office Supplies,Binders,Binders 458,1056.63,4,0.0,365.58,South,Consumer,CUST-5660,Texas
ORD-1023,2023-11-28,2023-12-03,Furniture,Bookcases,Bookcases 788,3234.79,7,0.2,309.85,East,Consumer,CUST-3670,Ohio
ORD-1024,2022-11-09,2022-11-12,Office Supplies,Paper,Paper 296,458.83,3,0.0,152.72,East,Consumer,CUST-3617,Pennsylvania
ORD-1025,2024-07-17,2024-07-20,Furniture,Tables,Tables 337,5153.95,5,0.25,1650.67,South,Home Office,CUST-1714,New York
ORD-1026,2023-02-06,2023-02-10,Technology,Computers,Computers 643,3239.37,9,0.1,473.62,Central,Home Office,CUST-7394,Ohio
ORD-1027,2022-09-06,2022-09-12,Office Supplies,Storage,Storage 697,972.91,9,0.1,163.79,East,Corporate,CUST-3111,California
ORD-1028,2022-02-12,2022-02-13,Office Supplies,Art,Art 861,325.07,8,0.2,97.36,Central,Home Office,CUST-2042,Texas
ORD-1029,2024-04-20,2024-04-26,Furniture,Tables,Tables 529,7761.91,8,0.1,1393.06,Central,Consumer,CUST-9940,Pennsylvania
ORD-1030,2023-01-24,2023-01-30,Office Supplies,Art,Art 304,366.81,8,0.2,127.42,East,Home Office,CUST-6325,Georgia
ORD-1031,2022-07-20,2022-07-24,Furniture,Furnishings,Furnishings 556,985.03,2,0.0,118.2,West,Corporate,CUST-4347,Pennsylvania
ORD-1032,2022-09-28,2022-10-05,Furniture,Chairs,Chairs 853,11257.62,9,0.15,2308.17,East,Home Office,CUST-8978,Pennsylvania
ORD-1033,2022-04-25,2022-04-28,Technology,Accessories,Accessories 292,8375.47,7,0.25,2804.27,Central,Corporate,CUST-5990,Texas
ORD-1034,2022-09-19,2022-09-23,Office Supplies,Storage,Storage 812,988.36,4,0.1,133.36,Central,Home Office,CUST-9554,Texas
ORD-1035,2023-07-07,2023-07-11,Office Supplies,Paper,Paper 582,145.87,1,0.1,21.11,South,Consumer,CUST-5838,Illinois
ORD-1036,2022-03-27,2022-03-29,Technology,Accessories,Accessories 456,673.76,1,0.2,161.27,West,Home Office,CUST-2733,Ohio
ORD-1037,2023-12-15,2023-12-19,Office Supplies,Storage,Storage 513,1415.0,7,0.1,386.83,Central,Consumer,CUST-9023,California
ORD-1038,2022-10-15,2022-10-16,Office Supplies,Paper,Paper 475,277.86,8,0.15,46.55,South,Corporate,CUST-2223,New York
ORD-1039,2024-03-02,2024-03-05,Technology,Accessories,Accessories 716,313.34,1,0.25,75.39,South,Home Office,CUST-2126,Pennsylvania
ORD-1040,2023-09-03,2023-09-09,Office Supplies,Paper,Paper 171,942.7,6,0.2,129.34,South,Home Office,CUST-4378,Georgia
ORD-1041,2024-10-06,2024-10-08,Office Supplies,Paper,Paper 934,401.02,4,0.15,95.4,East,Consumer,CUST-9909,Texas
ORD-1042,2023-07-28,2023-08-02,Furniture,Tables,Tables 962,2712.66,3,0.15,402.82,South,Corporate,CUST-3459,Florida
ORD-1043,2024-07-28,2024-07-30,Office Supplies,Art,Art 239,125.24,2,0.0,30.64,East,Home Office,CUST-4656,Illinois
ORD-1044,2022-05-27,2022-05-29,Technology,Phones,Phones 619,2110.94,5,0.2,163.11,East,Consumer,CUST-6314,Pennsylvania
ORD-1045,2024-02-12,2024-02-19,Furniture,Tables,Tables 986,4267.51,4,0.25,258.89,East,Corporate,CUST-3961,Ohio
ORD-1046,2023-11-16,2023-11-21,Technology,Phones,Phones 705,5973.26,4,0.2,1817.8,East,Home Office,CUST-8938,Illinois
ORD-1047,2023-11-04,2023-11-08,Furniture,Furnishings,Furnishings 936,1126.32,1,0.2,222.5,South,Corporate,CUST-3366,Florida
ORD-1048,2023-04-22,2023-04-23,Office Supplies,Art,Art 549,1602.2,8,0.15,109.92,West,Corporate,CUST-6444,Illinois
ORD-1049,2023-11-24,2023-11-28,Furniture,Furnishings,Furnishings 170,2139.45,3,0.0,434.7,East,Consumer,CUST-5880,Texas
ORD-1050,2023-04-24,2023-04-27,Technology,Computers,Computers 809,1043.0,1,0.25,348.41,Central,Corporate,CUST-2198,Florida
ORD-1051,2022-04-27,2022-05-04,Technology,Accessories,Accessories 343,2506.87,5,0.1,645.46,West,Home Office,CUST-8826,Illinois
ORD-1052,2022-09-03,2022-09-07,Office Supplies,Art,Art 128,618.4,10,0.2,63.26,Central,Home Office,CUST-9120,Ohio
ORD-1053,2023-10-24,2023-10-25,Furniture,Furnishings,Furnishings 515,1616.81,3,0.2,528.93,West,Home Office,CUST-6218,Florida
ORD-1054,2022-06-04,2022-06-05,Technology,Copiers,Copiers 270,4735.21,5,0.15,1141.69,West,Home Office,CUST-3524,New York
ORD-1055,2023-07-27,2023-07-30,Technology,Accessories,Accessories 781,3526.71,10,0.25,624.33,Central,Home Office,CUST-9666,Illinois
ORD-1056,2023-12-14,2023-12-19,Furniture,Chairs,Chairs 149,672.88,4,0.2,223.04,West,Corporate,CUST-3800,California
ORD-1057,2022-12-06,2022-12-11,Technology,Phones,Phones 636,11694.27,8,0.0,643.58,Central,Home Office,CUST-2263,Florida
ORD-1058,2023-10-02,2023-10-05,Technology,Copiers,Copiers 409,6327.05,4,0.15,1000.43,East,Corporate,CUST-4526,California
ORD-1059,2024-09-27,2024-10-03,Furniture,Tables,Tables 124,859.54,2,0.1,232.08,Central,Consumer,CUST-7301,Florida
ORD-1060,2023-04-27,2023-04-29,Office Supplies,Labels,Labels 858,373.95,3,0.25,119.22,East,Corporate,CUST-1469,New York
ORD-1061,2022-03-11,2022-03-18,Furniture,Bookcases,Bookcases 598,1047.39,1,0.15,218.74,West,Home Office,CUST-4952,Georgia
